FLUKE 289,  V1.16,  40810170 Douglas Hutchings

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name
12/3/2025 2:07:06 PM,12/3/2025 8:38:57 PM,6:31:50,0:00:20,6207,1176,5417,Motor 4
Max Time,Max,Average,Min,Min Time,Scaling,
12/3/2025 2:07:06 PM,8.519 V DC,8.081 V DC,-0.0075 V DC,12/3/2025 8:38:55 PM,(none)

Reading,Sample,Start Time,Duration,Max Time,Max,Average,Min Time,Min,Description,Stop Time
1,8.519 V DC,12/3/2025 14:07:06.1,0:00:01.4,12/3/2025 14:07:06.1,8.519 V DC,8.498 V DC,12/3/2025 14:07:07.4,8.458 V DC,Stable,12/3/2025 14:07:07.5
2,7.938 V DC,12/3/2025 14:07:07.5,0:00:07.2,12/3/2025 14:07:08.8,8.310 V DC,7.246 V DC,12/3/2025 14:07:07.7,5.484 V DC,Unstable,12/3/2025 14:07:14.8
3,8.290 V DC,12/3/2025 14:07:14.8,0:00:02.2,12/3/2025 14:07:16.6,8.369 V DC,8.299 V DC,12/3/2025 14:07:15.9,8.206 V DC,Stable,12/3/2025 14:07:17.0
4,8.372 V DC,12/3/2025 14:07:17.0,0:00:00.8,12/3/2025 14:07:17.6,8.382 V DC,8.338 V DC,12/3/2025 14:07:17.1,8.264 V DC,Unstable,12/3/2025 14:07:17.8
5,8.374 V DC,12/3/2025 14:07:17.8,0:00:01.6,12/3/2025 14:07:18.9,8.405 V DC,8.374 V DC,12/3/2025 14:07:19.0,8.298 V DC,Stable,12/3/2025 14:07:19.4
6,8.201 V DC,12/3/2025 14:07:19.4,0:00:00.1,12/3/2025 14:07:19.4,8.201 V DC,8.201 V DC,12/3/2025 14:07:19.4,8.201 V DC,Unstable,12/3/2025 14:07:19.5
7,8.334 V DC,12/3/2025 14:07:19.5,0:00:01.4,12/3/2025 14:07:20.3,8.414 V DC,8.372 V DC,12/3/2025 14:07:20.0,8.293 V DC,Stable,12/3/2025 14:07:20.9
8,8.251 V DC,12/3/2025 14:07:20.9,0:00:04.4,12/3/2025 14:07:23.8,8.427 V DC,8.367 V DC,12/3/2025 14:07:22.5,8.198 V DC,Unstable,12/3/2025 14:07:25.4
9,8.412 V DC,12/3/2025 14:07:25.4,0:00:00.2,12/3/2025 14:07:25.5,8.429 V DC,8.421 V DC,12/3/2025 14:07:25.4,8.412 V DC,Interval,12/3/2025 14:07:25.6
10,8.422 V DC,12/3/2025 14:07:25.6,0:00:01.6,12/3/2025 14:07:26.6,8.442 V DC,8.414 V DC,12/3/2025 14:07:27.0,8.327 V DC,Stable,12/3/2025 14:07:27.2
11,8.245 V DC,12/3/2025 14:07:27.2,0:00:00.5,12/3/2025 14:07:27.4,8.429 V DC,8.309 V DC,12/3/2025 14:07:27.6,8.202 V DC,Unstable,12/3/2025 14:07:27.7
12,8.392 V DC,12/3/2025 14:07:27.7,0:00:01.0,12/3/2025 14:07:28.6,8.438 V DC,8.384 V DC,12/3/2025 14:07:28.0,8.310 V DC,Stable,12/3/2025 14:07:28.7
13,8.441 V DC,12/3/2025 14:07:28.7,0:00:00.7,12/3/2025 14:07:28.8,8.443 V DC,8.406 V DC,12/3/2025 14:07:29.2,8.318 V DC,Unstable,12/3/2025 14:07:29.4
14,8.332 V DC,12/3/2025 14:07:29.4,0:00:03.7,12/3/2025 14:07:32.2,8.452 V DC,8.415 V DC,12/3/2025 14:07:30.8,8.318 V DC,Stable,12/3/2025 14:07:33.1
15,8.453 V DC,12/3/2025 14:07:33.1,0:00:06.9,12/3/2025 14:07:33.3,8.455 V DC,8.395 V DC,12/3/2025 14:07:35.0,8.142 V DC,Unstable,12/3/2025 14:07:40.0
16,8.425 V DC,12/3/2025 14:07:40.0,0:00:01.4,12/3/2025 14:07:40.6,8.457 V DC,8.439 V DC,12/3/2025 14:07:41.0,8.399 V DC,Stable,12/3/2025 14:07:41.4
17,8.237 V DC,12/3/2025 14:07:41.4,0:00:01.4,12/3/2025 14:07:42.1,8.441 V DC,8.366 V DC,12/3/2025 14:07:41.4,8.237 V DC,Unstable,12/3/2025 14:07:42.9
18,8.414 V DC,12/3/2025 14:07:42.9,0:00:01.2,12/3/2025 14:07:44.0,8.448 V DC,8.424 V DC,12/3/2025 14:07:43.1,8.365 V DC,Stable,12/3/2025 14:07:44.1
19,8.281 V DC,12/3/2025 14:07:44.1,0:00:01.3,12/3/2025 14:07:44.4,8.451 V DC,8.375 V DC,12/3/2025 14:07:45.3,8.245 V DC,Unstable,12/3/2025 14:07:45.4
20,8.394 V DC,12/3/2025 14:07:45.4,0:00:00.2,12/3/2025 14:07:45.5,8.437 V DC,8.415 V DC,12/3/2025 14:07:45.4,8.394 V DC,Interval,12/3/2025 14:07:45.6
21,8.238 V DC,12/3/2025 14:07:45.6,0:00:00.1,12/3/2025 14:07:45.6,8.238 V DC,8.238 V DC,12/3/2025 14:07:45.6,8.238 V DC,Unstable,12/3/2025 14:07:45.7
22,8.418 V DC,12/3/2025 14:07:45.7,0:00:01.0,12/3/2025 14:07:46.3,8.460 V DC,8.438 V DC,12/3/2025 14:07:46.4,8.391 V DC,Stable,12/3/2025 14:07:46.7
23,8.288 V DC,12/3/2025 14:07:46.7,0:00:04.1,12/3/2025 14:07:49.8,8.454 V DC,8.386 V DC,12/3/2025 14:07:48.4,8.222 V DC,Unstable,12/3/2025 14:07:50.8
24,8.430 V DC,12/3/2025 14:07:50.8,0:00:01.0,12/3/2025 14:07:50.9,8.447 V DC,8.411 V DC,12/3/2025 14:07:51.0,8.355 V DC,Stable,12/3/2025 14:07:51.8
25,8.286 V DC,12/3/2025 14:07:51.8,0:00:00.5,12/3/2025 14:07:52.1,8.448 V DC,8.355 V DC,12/3/2025 14:07:52.2,8.216 V DC,Unstable,12/3/2025 14:07:52.3
26,8.415 V DC,12/3/2025 14:07:52.3,0:00:01.2,12/3/2025 14:07:53.4,8.458 V DC,8.428 V DC,12/3/2025 14:07:53.0,8.349 V DC,Stable,12/3/2025 14:07:53.5
27,8.289 V DC,12/3/2025 14:07:53.5,0:00:12.0,12/3/2025 14:07:54.5,8.462 V DC,8.402 V DC,12/3/2025 14:08:03.1,8.222 V DC,Unstable,12/3/2025 14:08:05.5
28,8.437 V DC,12/3/2025 14:08:05.5,0:00:00.1,12/3/2025 14:08:05.5,8.437 V DC,8.437 V DC,12/3/2025 14:08:05.5,8.437 V DC,Interval,12/3/2025 14:08:05.6
29,8.451 V DC,12/3/2025 14:08:05.6,0:00:01.0,12/3/2025 14:08:05.9,8.462 V DC,8.433 V DC,12/3/2025 14:08:06.3,8.342 V DC,Unstable,12/3/2025 14:08:06.6
30,8.351 V DC,12/3/2025 14:08:06.6,0:00:02.9,12/3/2025 14:08:07.5,8.457 V DC,8.413 V DC,12/3/2025 14:08:08.3,8.316 V DC,Stable,12/3/2025 14:08:09.5
31,8.222 V DC,12/3/2025 14:08:09.5,0:00:01.7,12/3/2025 14:08:10.0,8.462 V DC,8.393 V DC,12/3/2025 14:08:10.2,8.199 V DC,Unstable,12/3/2025 14:08:11.2
32,8.436 V DC,12/3/2025 14:08:11.2,0:00:02.2,12/3/2025 14:08:13.0,8.468 V DC,8.437 V DC,12/3/2025 14:08:11.5,8.363 V DC,Stable,12/3/2025 14:08:13.4
33,8.307 V DC,12/3/2025 14:08:13.4,0:00:03.2,12/3/2025 14:08:16.0,8.462 V DC,8.417 V DC,12/3/2025 14:08:16.1,8.292 V DC,Unstable,12/3/2025 14:08:16.7
34,8.361 V DC,12/3/2025 14:08:16.7,0:00:01.9,12/3/2025 14:08:17.3,8.467 V DC,8.431 V DC,12/3/2025 14:08:17.8,8.321 V DC,Stable,12/3/2025 14:08:18.6
35,8.290 V DC,12/3/2025 14:08:18.6,0:00:00.7,12/3/2025 14:08:19.1,8.457 V DC,8.398 V DC,12/3/2025 14:08:18.6,8.290 V DC,Unstable,12/3/2025 14:08:19.3
36,8.412 V DC,12/3/2025 14:08:19.3,0:00:01.8,12/3/2025 14:08:20.7,8.460 V DC,8.430 V DC,12/3/2025 14:08:19.6,8.353 V DC,Stable,12/3/2025 14:08:21.1
37,8.280 V DC,12/3/2025 14:08:21.1,0:00:01.6,12/3/2025 14:08:21.9,8.460 V DC,8.390 V DC,12/3/2025 14:08:21.1,8.280 V DC,Unstable,12/3/2025 14:08:22.7
38,8.436 V DC,12/3/2025 14:08:22.7,0:00:01.1,12/3/2025 14:08:23.3,8.462 V DC,8.428 V DC,12/3/2025 14:08:23.4,8.377 V DC,Stable,12/3/2025 14:08:23.8
