FLUKE 289,  V1.16,  40810170

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name
12/2/2025 5:47:07 PM,12/3/2025 12:51:12 PM,19:04:05,0:00:30,8740,2289,6740,Motor 3
Max Time,Max,Average,Min,Min Time,Scaling,
12/2/2025 5:48:57 PM,9.505 V DC,6.5106 V DC,0.2152 V DC,12/2/2025 5:47:10 PM,(none)

Reading,Sample,Start Time,Duration,Max Time,Max,Average,Min Time,Min,Description,Stop Time
1,0.2184 V DC,12/2/2025 17:47:07.4,0:00:02.9,12/2/2025 17:47:07.4,0.2184 V DC,0.2165 V DC,12/2/2025 17:47:10.1,0.2152 V DC,Stable,12/2/2025 17:47:10.3
2,0.2530 V DC,12/2/2025 17:47:10.3,0:00:00.1,12/2/2025 17:47:10.3,0.2530 V DC,0.2530 V DC,12/2/2025 17:47:10.3,0.2530 V DC,Stable,12/2/2025 17:47:10.4
3,  OL V DC,12/2/2025 17:47:10.4,0:00:00.6,12/2/2025 17:47:10.4,  OL V DC,  V DC,12/2/2025 17:47:10.4,  OL V DC,Range Change,12/2/2025 17:47:11.0
4,9.482 V DC,12/2/2025 17:47:11.0,0:00:06.2,12/2/2025 17:47:11.2,9.496 V DC,8.716 V DC,12/2/2025 17:47:16.9,7.793 V DC,Unstable,12/2/2025 17:47:17.3
5,9.245 V DC,12/2/2025 17:47:17.3,0:00:01.4,12/2/2025 17:47:18.6,9.343 V DC,9.296 V DC,12/2/2025 17:47:17.5,9.230 V DC,Stable,12/2/2025 17:47:18.7
6,9.355 V DC,12/2/2025 17:47:18.7,0:00:07.5,12/2/2025 17:47:26.1,9.440 V DC,9.392 V DC,12/2/2025 17:47:18.9,9.310 V DC,Stable,12/2/2025 17:47:26.2
7,9.441 V DC,12/2/2025 17:47:26.2,0:00:04.8,12/2/2025 17:47:30.9,9.458 V DC,9.434 V DC,12/2/2025 17:47:27.8,9.351 V DC,Stable,12/2/2025 17:47:31.0
8,9.320 V DC,12/2/2025 17:47:31.0,0:00:00.8,12/2/2025 17:47:31.3,9.455 V DC,9.424 V DC,12/2/2025 17:47:31.0,9.320 V DC,Unstable,12/2/2025 17:47:31.8
9,9.458 V DC,12/2/2025 17:47:31.8,0:00:04.9,12/2/2025 17:47:36.7,9.470 V DC,9.449 V DC,12/2/2025 17:47:33.6,9.390 V DC,Interval,12/2/2025 17:47:36.8
10,9.439 V DC,12/2/2025 17:47:36.8,0:00:30.1,12/2/2025 17:48:06.6,9.493 V DC,9.467 V DC,12/2/2025 17:47:43.4,9.382 V DC,Interval,12/2/2025 17:48:06.8
