FLUKE 289,  V1.16,  40810170 Douglas Hutchings

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name
12/14/2025 6:20:07 PM,12/16/2025 11:44:42 AM,41:24:35,0:01:00,11096,2485,8786,Motor 11
Max Time,Max,Average,Min,Min Time,Scaling,
12/14/2025 6:20:07 PM,10.130 V DC,6.737 V DC,1.3092 V DC,12/16/2025 12:12:04 AM,(none)

Reading,Sample,Start Time,Duration,Max Time,Max,Average,Min Time,Min,Description,Stop Time
1,10.130 V DC,12/14/2025 18:20:07.3,0:00:03.2,12/14/2025 18:20:07.3,10.130 V DC,10.108 V DC,12/14/2025 18:20:10.1,10.033 V DC,Stable,12/14/2025 18:20:10.5
2,9.406 V DC,12/14/2025 18:20:10.5,0:00:03.2,12/14/2025 18:20:11.2,9.943 V DC,9.084 V DC,12/14/2025 18:20:13.1,8.402 V DC,Unstable,12/14/2025 18:20:13.7
3,9.884 V DC,12/14/2025 18:20:13.7,0:00:01.9,12/14/2025 18:20:15.6,9.987 V DC,9.948 V DC,12/14/2025 18:20:13.7,9.884 V DC,Stable,12/14/2025 18:20:15.7
4,9.990 V DC,12/14/2025 18:20:15.7,0:00:04.6,12/14/2025 18:20:16.1,10.000 V DC,9.266 V DC,12/14/2025 18:20:19.1,8.384 V DC,Unstable,12/14/2025 18:20:20.3
5,9.859 V DC,12/14/2025 18:20:20.3,0:00:06.8,12/14/2025 18:20:23.7,9.960 V DC,9.908 V DC,12/14/2025 18:20:20.5,9.799 V DC,Stable,12/14/2025 18:20:27.1
6,9.977 V DC,12/14/2025 18:20:27.1,0:00:00.1,12/14/2025 18:20:27.1,9.977 V DC,9.977 V DC,12/14/2025 18:20:27.1,9.977 V DC,Unstable,12/14/2025 18:20:27.2
7,9.868 V DC,12/14/2025 18:20:27.2,0:00:02.8,12/14/2025 18:20:29.8,10.005 V DC,9.980 V DC,12/14/2025 18:20:27.2,9.868 V DC,Stable,12/14/2025 18:20:30.0
8,10.006 V DC,12/14/2025 18:20:30.0,0:00:03.1,12/14/2025 18:20:32.5,10.018 V DC,9.995 V DC,12/14/2025 18:20:32.9,9.957 V DC,Stable,12/14/2025 18:20:33.2
9,9.876 V DC,12/14/2025 18:20:33.2,0:00:00.3,12/14/2025 18:20:33.4,9.993 V DC,9.939 V DC,12/14/2025 18:20:33.2,9.876 V DC,Unstable,12/14/2025 18:20:33.5
10,10.012 V DC,12/14/2025 18:20:33.5,0:00:33.3,12/14/2025 18:21:04.4,10.055 V DC,10.024 V DC,12/14/2025 18:21:00.6,9.923 V DC,Interval,12/14/2025 18:21:06.8
11,9.996 V DC,12/14/2025 18:21:06.8,0:00:37.1,12/14/2025 18:21:42.3,10.066 V DC,10.044 V DC,12/14/2025 18:21:21.8,9.934 V DC,Stable,12/14/2025 18:21:43.9
12,9.917 V DC,12/14/2025 18:21:43.9,0:00:00.1,12/14/2025 18:21:43.9,9.917 V DC,9.917 V DC,12/14/2025 18:21:43.9,9.917 V DC,Unstable,12/14/2025 18:21:44.0
13,10.036 V DC,12/14/2025 18:21:44.0,0:00:14.8,12/14/2025 18:21:52.2,10.063 V DC,10.041 V DC,12/14/2025 18:21:46.3,9.965 V DC,Stable,12/14/2025 18:21:58.8
14,9.911 V DC,12/14/2025 18:21:58.8,0:00:00.1,12/14/2025 18:21:58.8,9.911 V DC,9.911 V DC,12/14/2025 18:21:58.8,9.911 V DC,Unstable,12/14/2025 18:21:58.9
15,10.039 V DC,12/14/2025 18:21:58.9,0:00:07.8,12/14/2025 18:22:01.4,10.063 V DC,10.045 V DC,12/14/2025 18:22:00.7,9.988 V DC,Interval,12/14/2025 18:22:06.7
