FLUKE 289,  V1.16,  40810170 Douglas Hutchings

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name
12/10/2025 11:17:58 AM,12/10/2025 7:49:42 PM,8:31:43,0:01:00,9123,512,8759,Motor 9
Max Time,Max,Average,Min,Min Time,Scaling,
12/10/2025 11:17:58 AM,10.151 V DC,7.480 V DC,1.3187 V DC,12/10/2025 6:20:37 PM,(none)

Reading,Sample,Start Time,Duration,Max Time,Max,Average,Min Time,Min,Description,Stop Time
1,10.151 V DC,12/10/2025 11:17:58.5,0:00:00.0,12/10/2025 11:17:58.5,10.151 V DC,10.151 V DC,12/10/2025 11:17:58.5,10.151 V DC,Stable,12/10/2025 11:17:58.5
2,  V DC,12/10/2025 11:17:58.5,0:00:00.6,12/10/2025 11:17:58.5,  V DC,  V DC,12/10/2025 11:17:58.5,  V DC,Stable,12/10/2025 11:17:59.0
3,10.151 V DC,12/10/2025 11:17:59.0,0:00:02.0,12/10/2025 11:17:59.0,10.151 V DC,10.151 V DC,12/10/2025 11:17:59.0,10.151 V DC,Stable,12/10/2025 11:18:01.1
4,9.891 V DC,12/10/2025 11:18:01.1,0:00:04.1,12/10/2025 11:18:02.7,9.942 V DC,9.300 V DC,12/10/2025 11:18:04.6,8.525 V DC,Unstable,12/10/2025 11:18:05.2
5,9.890 V DC,12/10/2025 11:18:05.2,0:00:01.5,12/10/2025 11:18:06.6,9.980 V DC,9.926 V DC,12/10/2025 11:18:05.6,9.822 V DC,Stable,12/10/2025 11:18:06.7
6,9.983 V DC,12/10/2025 11:18:06.7,0:00:00.2,12/10/2025 11:18:06.7,9.983 V DC,9.902 V DC,12/10/2025 11:18:06.8,9.821 V DC,Unstable,12/10/2025 11:18:06.9
7,9.950 V DC,12/10/2025 11:18:06.9,0:00:08.7,12/10/2025 11:18:14.7,10.066 V DC,10.025 V DC,12/10/2025 11:18:06.9,9.950 V DC,Stable,12/10/2025 11:18:15.5
8,10.068 V DC,12/10/2025 11:18:15.5,0:00:00.4,12/10/2025 11:18:15.5,10.068 V DC,9.987 V DC,12/10/2025 11:18:15.7,9.897 V DC,Unstable,12/10/2025 11:18:15.9
9,10.055 V DC,12/10/2025 11:18:15.9,0:00:01.7,12/10/2025 11:18:17.6,10.073 V DC,10.050 V DC,12/10/2025 11:18:16.1,9.982 V DC,Stable,12/10/2025 11:18:17.7
10,9.957 V DC,12/10/2025 11:18:17.7,0:00:40.9,12/10/2025 11:18:49.4,10.095 V DC,10.064 V DC,12/10/2025 11:18:17.7,9.957 V DC,Interval,12/10/2025 11:18:58.5
11,10.081 V DC,12/10/2025 11:18:58.5,0:00:02.6,12/10/2025 11:19:00.9,10.094 V DC,10.075 V DC,12/10/2025 11:18:59.9,10.032 V DC,Stable,12/10/2025 11:19:01.1
12,9.956 V DC,12/10/2025 11:19:01.1,0:00:00.2,12/10/2025 11:19:01.2,9.964 V DC,9.960 V DC,12/10/2025 11:19:01.1,9.956 V DC,Unstable,12/10/2025 11:19:01.3
13,10.076 V DC,12/10/2025 11:19:01.3,0:00:04.7,12/10/2025 11:19:03.0,10.098 V DC,10.083 V DC,12/10/2025 11:19:05.4,10.002 V DC,Stable,12/10/2025 11:19:06.1
14,9.962 V DC,12/10/2025 11:19:06.1,0:00:00.9,12/10/2025 11:19:06.5,10.089 V DC,10.016 V DC,12/10/2025 11:19:06.1,9.962 V DC,Unstable,12/10/2025 11:19:07.0
15,10.073 V DC,12/10/2025 11:19:07.0,0:00:21.7,12/10/2025 11:19:13.5,10.098 V DC,10.081 V DC,12/10/2025 11:19:25.6,9.990 V DC,Stable,12/10/2025 11:19:28.7
16,9.972 V DC,12/10/2025 11:19:28.7,0:00:00.3,12/10/2025 11:19:28.9,10.076 V DC,10.018 V DC,12/10/2025 11:19:28.7,9.972 V DC,Unstable,12/10/2025 11:19:29.0
17,10.089 V DC,12/10/2025 11:19:29.0,0:00:07.6,12/10/2025 11:19:35.8,10.100 V DC,10.082 V DC,12/10/2025 11:19:31.9,9.973 V DC,Stable,12/10/2025 11:19:36.6
18,9.156 V DC,12/10/2025 11:19:36.6,0:00:03.0,12/10/2025 11:19:37.2,9.919 V DC,9.078 V DC,12/10/2025 11:19:39.2,8.557 V DC,Unstable,12/10/2025 11:19:39.7
19,9.837 V DC,12/10/2025 11:19:39.7,0:00:01.7,12/10/2025 11:19:41.1,9.944 V DC,9.898 V DC,12/10/2025 11:19:39.7,9.837 V DC,Stable,12/10/2025 11:19:41.4
20,9.953 V DC,12/10/2025 11:19:41.4,0:00:00.9,12/10/2025 11:19:41.8,9.964 V DC,9.916 V DC,12/10/2025 11:19:42.1,9.802 V DC,Unstable,12/10/2025 11:19:42.3
