FLUKE 289,  V1.16,  40810170

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name
12/1/2025 12:16:21 PM,12/2/2025 4:45:15 PM,28:28:54,0:00:26,12388,3944,8853,Motor 2
Max Time,Max,Average,Min,Min Time,Scaling,
12/1/2025 12:19:27 PM,8.855 V DC,4.6733 V DC,0.0203 V DC,12/1/2025 12:16:21 PM,(none)

Reading,Sample,Start Time,Duration,Max Time,Max,Average,Min Time,Min,Description,Stop Time
1,0.0205 V DC,12/1/2025 12:16:20.7,0:00:02.6,12/1/2025 12:16:23.3,0.0215 V DC,0.0206 V DC,12/1/2025 12:16:21.5,0.0203 V DC,Stable,12/1/2025 12:16:23.4
2,  OL V DC,12/1/2025 12:16:23.4,0:00:00.6,12/1/2025 12:16:23.4,  OL V DC,  V DC,12/1/2025 12:16:23.4,  OL V DC,Range Change,12/1/2025 12:16:23.9
3,8.772 V DC,12/1/2025 12:16:23.9,0:00:06.2,12/1/2025 12:16:24.0,8.774 V DC,7.523 V DC,12/1/2025 12:16:24.4,5.825 V DC,Unstable,12/1/2025 12:16:30.2
4,8.556 V DC,12/1/2025 12:16:30.2,0:00:01.0,12/1/2025 12:16:30.8,8.668 V DC,8.627 V DC,12/1/2025 12:16:31.0,8.519 V DC,Stable,12/1/2025 12:16:31.2
5,8.685 V DC,12/1/2025 12:16:31.2,0:00:06.0,12/1/2025 12:16:37.1,8.773 V DC,8.717 V DC,12/1/2025 12:16:36.6,8.618 V DC,Stable,12/1/2025 12:16:37.2
6,8.779 V DC,12/1/2025 12:16:37.2,0:00:01.1,12/1/2025 12:16:37.7,8.784 V DC,8.760 V DC,12/1/2025 12:16:37.8,8.694 V DC,Stable,12/1/2025 12:16:38.3
7,8.692 V DC,12/1/2025 12:16:38.3,0:00:07.8,12/1/2025 12:16:45.4,8.813 V DC,8.774 V DC,12/1/2025 12:16:43.0,8.654 V DC,Interval,12/1/2025 12:16:46.2
8,8.801 V DC,12/1/2025 12:16:46.2,0:00:01.6,12/1/2025 12:16:46.7,8.812 V DC,8.732 V DC,12/1/2025 12:16:47.7,8.595 V DC,Unstable,12/1/2025 12:16:47.8
9,8.758 V DC,12/1/2025 12:16:47.8,0:00:01.8,12/1/2025 12:16:49.5,8.804 V DC,8.757 V DC,12/1/2025 12:16:47.9,8.688 V DC,Stable,12/1/2025 12:16:49.6
10,8.812 V DC,12/1/2025 12:16:49.6,0:00:05.1,12/1/2025 12:16:52.9,8.828 V DC,8.807 V DC,12/1/2025 12:16:53.9,8.740 V DC,Stable,12/1/2025 12:16:54.7
11,8.716 V DC,12/1/2025 12:16:54.7,0:00:17.5,12/1/2025 12:17:07.8,8.842 V DC,8.816 V DC,12/1/2025 12:16:54.7,8.716 V DC,Interval,12/1/2025 12:17:12.2
12,8.803 V DC,12/1/2025 12:17:12.2,0:00:18.3,12/1/2025 12:17:27.8,8.849 V DC,8.823 V DC,12/1/2025 12:17:17.2,8.736 V DC,Stable,12/1/2025 12:17:30.5
13,8.714 V DC,12/1/2025 12:17:30.5,0:00:00.1,12/1/2025 12:17:30.5,8.714 V DC,8.714 V DC,12/1/2025 12:17:30.5,8.714 V DC,Unstable,12/1/2025 12:17:30.6
14,8.818 V DC,12/1/2025 12:17:30.6,0:00:03.9,12/1/2025 12:17:32.3,8.848 V DC,8.831 V DC,12/1/2025 12:17:34.5,8.755 V DC,Stable,12/1/2025 12:17:34.6
15,8.635 V DC,12/1/2025 12:17:34.6,0:00:00.4,12/1/2025 12:17:34.8,8.833 V DC,8.751 V DC,12/1/2025 12:17:34.6,8.635 V DC,Unstable,12/1/2025 12:17:35.0
16,8.823 V DC,12/1/2025 12:17:35.0,0:00:01.9,12/1/2025 12:17:36.4,8.847 V DC,8.829 V DC,12/1/2025 12:17:36.8,8.784 V DC,Stable,12/1/2025 12:17:36.9
17,8.741 V DC,12/1/2025 12:17:36.9,0:00:01.3,12/1/2025 12:17:37.6,8.842 V DC,8.806 V DC,12/1/2025 12:17:36.9,8.741 V DC,Interval,12/1/2025 12:17:38.2
18,8.836 V DC,12/1/2025 12:17:38.2,0:00:00.7,12/1/2025 12:17:38.6,8.844 V DC,8.801 V DC,12/1/2025 12:17:38.8,8.709 V DC,Unstable,12/1/2025 12:17:38.9
19,8.817 V DC,12/1/2025 12:17:38.9,0:00:04.1,12/1/2025 12:17:41.1,8.851 V DC,8.833 V DC,12/1/2025 12:17:42.7,8.771 V DC,Stable,12/1/2025 12:17:43.0
20,8.658 V DC,12/1/2025 12:17:43.0,0:00:00.9,12/1/2025 12:17:43.6,8.840 V DC,8.768 V DC,12/1/2025 12:17:43.0,8.658 V DC,Unstable,12/1/2025 12:17:43.9
21,8.811 V DC,12/1/2025 12:17:43.9,0:00:15.3,12/1/2025 12:17:55.6,8.854 V DC,8.828 V DC,12/1/2025 12:17:49.3,8.731 V DC,Stable,12/1/2025 12:17:59.2
22,8.714 V DC,12/1/2025 12:17:59.2,0:00:00.5,12/1/2025 12:17:59.6,8.792 V DC,8.733 V DC,12/1/2025 12:17:59.4,8.666 V DC,Unstable,12/1/2025 12:17:59.7
23,8.831 V DC,12/1/2025 12:17:59.7,0:00:01.0,12/1/2025 12:18:00.6,8.851 V DC,8.834 V DC,12/1/2025 12:18:00.0,8.757 V DC,Stable,12/1/2025 12:18:00.7
24,8.746 V DC,12/1/2025 12:18:00.7,0:00:03.8,12/1/2025 12:18:02.2,8.851 V DC,8.828 V DC,12/1/2025 12:18:00.7,8.746 V DC,Interval,12/1/2025 12:18:04.6
25,8.845 V DC,12/1/2025 12:18:04.6,0:00:07.1,12/1/2025 12:18:06.7,8.852 V DC,8.829 V DC,12/1/2025 12:18:05.7,8.772 V DC,Stable,12/1/2025 12:18:11.7
26,8.753 V DC,12/1/2025 12:18:11.7,0:00:06.0,12/1/2025 12:18:13.4,8.849 V DC,8.823 V DC,12/1/2025 12:18:12.5,8.748 V DC,Stable,12/1/2025 12:18:17.7
27,8.703 V DC,12/1/2025 12:18:17.7,0:00:00.1,12/1/2025 12:18:17.7,8.703 V DC,8.703 V DC,12/1/2025 12:18:17.7,8.703 V DC,Unstable,12/1/2025 12:18:17.8
28,8.791 V DC,12/1/2025 12:18:17.8,0:00:12.4,12/1/2025 12:18:19.6,8.852 V DC,8.823 V DC,12/1/2025 12:18:25.7,8.706 V DC,Interval,12/1/2025 12:18:30.2
29,8.794 V DC,12/1/2025 12:18:30.2,0:00:12.2,12/1/2025 12:18:30.9,8.854 V DC,8.833 V DC,12/1/2025 12:18:37.1,8.745 V DC,Stable,12/1/2025 12:18:42.4
30,8.626 V DC,12/1/2025 12:18:42.4,0:00:00.2,12/1/2025 12:18:42.5,8.692 V DC,8.659 V DC,12/1/2025 12:18:42.4,8.626 V DC,Unstable,12/1/2025 12:18:42.6
31,8.811 V DC,12/1/2025 12:18:42.6,0:00:08.8,12/1/2025 12:18:47.4,8.852 V DC,8.830 V DC,12/1/2025 12:18:46.6,8.736 V DC,Stable,12/1/2025 12:18:51.3
32,8.734 V DC,12/1/2025 12:18:51.3,0:00:00.1,12/1/2025 12:18:51.3,8.734 V DC,8.734 V DC,12/1/2025 12:18:51.3,8.734 V DC,Unstable,12/1/2025 12:18:51.4
33,8.826 V DC,12/1/2025 12:18:51.4,0:00:01.9,12/1/2025 12:18:52.4,8.849 V DC,8.820 V DC,12/1/2025 12:18:51.5,8.751 V DC,Stable,12/1/2025 12:18:53.4
34,8.637 V DC,12/1/2025 12:18:53.4,0:00:00.5,12/1/2025 12:18:53.8,8.822 V DC,8.754 V DC,12/1/2025 12:18:53.4,8.637 V DC,Unstable,12/1/2025 12:18:53.9
35,8.841 V DC,12/1/2025 12:18:53.9,0:00:02.3,12/1/2025 12:18:54.3,8.850 V DC,8.828 V DC,12/1/2025 12:18:55.6,8.780 V DC,Interval,12/1/2025 12:18:56.2
36,8.730 V DC,12/1/2025 12:18:56.2,0:00:00.4,12/1/2025 12:18:56.3,8.824 V DC,8.729 V DC,12/1/2025 12:18:56.4,8.651 V DC,Unstable,12/1/2025 12:18:56.6
37,8.799 V DC,12/1/2025 12:18:56.6,0:00:03.3,12/1/2025 12:18:58.7,8.851 V DC,8.819 V DC,12/1/2025 12:18:57.0,8.739 V DC,Stable,12/1/2025 12:18:59.9
38,8.606 V DC,12/1/2025 12:18:59.9,0:00:00.1,12/1/2025 12:18:59.9,8.606 V DC,8.606 V DC,12/1/2025 12:18:59.9,8.606 V DC,Unstable,12/1/2025 12:19:00.0
39,8.763 V DC,12/1/2025 12:19:00.0,0:00:03.9,12/1/2025 12:19:01.7,8.853 V DC,8.836 V DC,12/1/2025 12:19:00.0,8.763 V DC,Stable,12/1/2025 12:19:03.9
40,8.680 V DC,12/1/2025 12:19:03.9,0:00:00.1,12/1/2025 12:19:03.9,8.680 V DC,8.680 V DC,12/1/2025 12:19:03.9,8.680 V DC,Unstable,12/1/2025 12:19:04.0
41,8.799 V DC,12/1/2025 12:19:04.0,0:00:18.2,12/1/2025 12:19:18.6,8.853 V DC,8.824 V DC,12/1/2025 12:19:13.2,8.737 V DC,Interval,12/1/2025 12:19:22.2
42,8.843 V DC,12/1/2025 12:19:22.2,0:00:01.0,12/1/2025 12:19:22.6,8.848 V DC,8.809 V DC,12/1/2025 12:19:23.1,8.708 V DC,Unstable,12/1/2025 12:19:23.2
43,8.815 V DC,12/1/2025 12:19:23.2,0:00:04.6,12/1/2025 12:19:26.6,8.855 V DC,8.832 V DC,12/1/2025 12:19:24.6,8.742 V DC,Stable,12/1/2025 12:19:27.9
44,8.714 V DC,12/1/2025 12:19:27.9,0:00:00.2,12/1/2025 12:19:27.9,8.714 V DC,8.712 V DC,12/1/2025 12:19:28.0,8.710 V DC,Unstable,12/1/2025 12:19:28.1
45,8.818 V DC,12/1/2025 12:19:28.1,0:00:17.5,12/1/2025 12:19:35.6,8.855 V DC,8.833 V DC,12/1/2025 12:19:30.7,8.744 V DC,Stable,12/1/2025 12:19:45.6
46,8.662 V DC,12/1/2025 12:19:45.6,0:00:00.2,12/1/2025 12:19:45.7,8.727 V DC,8.694 V DC,12/1/2025 12:19:45.6,8.662 V DC,Unstable,12/1/2025 12:19:45.8
47,8.814 V DC,12/1/2025 12:19:45.8,0:00:02.4,12/1/2025 12:19:46.4,8.851 V DC,8.840 V DC,12/1/2025 12:19:45.8,8.814 V DC,Interval,12/1/2025 12:19:48.2
48,8.753 V DC,12/1/2025 12:19:48.2,0:00:26.0,12/1/2025 12:20:09.1,8.855 V DC,8.826 V DC,12/1/2025 12:19:57.2,8.705 V DC,Interval,12/1/2025 12:20:14.1
49,8.844 V DC,12/1/2025 12:20:14.1,0:00:00.7,12/1/2025 12:20:14.3,8.851 V DC,8.823 V DC,12/1/2025 12:20:14.7,8.760 V DC,Unstable,12/1/2025 12:20:14.9
50,8.747 V DC,12/1/2025 12:20:14.9,0:00:01.0,12/1/2025 12:20:15.5,8.847 V DC,8.819 V DC,12/1/2025 12:20:14.9,8.747 V DC,Stable,12/1/2025 12:20:15.9
51,8.848 V DC,12/1/2025 12:20:15.9,0:00:19.7,12/1/2025 12:20:17.6,8.854 V DC,8.830 V DC,12/1/2025 12:20:24.8,8.740 V DC,Stable,12/1/2025 12:20:35.6
52,8.699 V DC,12/1/2025 12:20:35.6,0:00:00.9,12/1/2025 12:20:36.2,8.841 V DC,8.763 V DC,12/1/2025 12:20:35.7,8.678 V DC,Unstable,12/1/2025 12:20:36.5
53,8.818 V DC,12/1/2025 12:20:36.5,0:00:03.7,12/1/2025 12:20:38.6,8.851 V DC,8.824 V DC,12/1/2025 12:20:37.2,8.748 V DC,Interval,12/1/2025 12:20:40.2
54,8.827 V DC,12/1/2025 12:20:40.2,0:00:09.2,12/1/2025 12:20:47.5,8.853 V DC,8.830 V DC,12/1/2025 12:20:43.4,8.749 V DC,Stable,12/1/2025 12:20:49.4
55,8.740 V DC,12/1/2025 12:20:49.4,0:00:00.4,12/1/2025 12:20:49.7,8.839 V DC,8.788 V DC,12/1/2025 12:20:49.4,8.740 V DC,Unstable,12/1/2025 12:20:49.8
56,8.742 V DC,12/1/2025 12:20:49.8,0:00:16.4,12/1/2025 12:21:02.8,8.850 V DC,8.818 V DC,12/1/2025 12:20:51.9,8.718 V DC,Interval,12/1/2025 12:21:06.2
57,8.780 V DC,12/1/2025 12:21:06.2,0:00:09.1,12/1/2025 12:21:08.7,8.852 V DC,8.830 V DC,12/1/2025 12:21:07.1,8.752 V DC,Stable,12/1/2025 12:21:15.2
58,8.663 V DC,12/1/2025 12:21:15.2,0:00:00.2,12/1/2025 12:21:15.3,8.705 V DC,8.684 V DC,12/1/2025 12:21:15.2,8.663 V DC,Unstable,12/1/2025 12:21:15.4
59,8.815 V DC,12/1/2025 12:21:15.4,0:00:03.7,12/1/2025 12:21:17.1,8.851 V DC,8.832 V DC,12/1/2025 12:21:15.7,8.763 V DC,Stable,12/1/2025 12:21:19.1
60,8.734 V DC,12/1/2025 12:21:19.1,0:00:13.1,12/1/2025 12:21:24.2,8.852 V DC,8.825 V DC,12/1/2025 12:21:31.9,8.702 V DC,Interval,12/1/2025 12:21:32.2
61,8.838 V DC,12/1/2025 12:21:32.2,0:00:20.2,12/1/2025 12:21:48.0,8.851 V DC,8.828 V DC,12/1/2025 12:21:35.0,8.737 V DC,Stable,12/1/2025 12:21:52.4
62,8.728 V DC,12/1/2025 12:21:52.4,0:00:00.1,12/1/2025 12:21:52.4,8.728 V DC,8.728 V DC,12/1/2025 12:21:52.4,8.728 V DC,Unstable,12/1/2025 12:21:52.5
63,8.819 V DC,12/1/2025 12:21:52.5,0:00:02.4,12/1/2025 12:21:54.7,8.850 V DC,8.835 V DC,12/1/2025 12:21:54.8,8.766 V DC,Stable,12/1/2025 12:21:55.0
