FLUKE 289,  V1.16,  40810170 Douglas Hutchings

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name
4/20/2026 9:14:51 PM,4/21/2026 12:01:51 AM,2:47:00,0:01:00,223,168,57,Motor 17
Max Time,Max,Average,Min,Min Time,Scaling,
4/20/2026 9:15:43 PM,10.143 V DC,9.873 V DC,8.651 V DC,4/20/2026 9:30:46 PM,(none)

Reading,Sample,Start Time,Duration,Max Time,Max,Average,Min Time,Min,Description,Stop Time
1,9.829 V DC,4/20/2026 21:14:51.1,0:00:03.5,4/20/2026 21:14:54.5,9.863 V DC,9.838 V DC,4/20/2026 21:14:51.4,9.828 V DC,Stable,4/20/2026 21:14:54.6
2,8.988 V DC,4/20/2026 21:14:54.6,0:00:02.7,4/20/2026 21:14:55.4,10.027 V DC,9.478 V DC,4/20/2026 21:14:55.8,8.754 V DC,Unstable,4/20/2026 21:14:57.4
3,9.912 V DC,4/20/2026 21:14:57.4,0:00:01.0,4/20/2026 21:14:58.1,10.027 V DC,9.984 V DC,4/20/2026 21:14:57.4,9.912 V DC,Stable,4/20/2026 21:14:58.4
4,10.046 V DC,4/20/2026 21:14:58.4,0:00:04.0,4/20/2026 21:15:02.1,10.107 V DC,10.065 V DC,4/20/2026 21:14:58.5,9.969 V DC,Stable,4/20/2026 21:15:02.4
5,10.108 V DC,4/20/2026 21:15:02.4,0:00:48.2,4/20/2026 21:15:43.2,10.143 V DC,10.117 V DC,4/20/2026 21:15:08.1,10.026 V DC,Interval,4/20/2026 21:15:50.6
6,10.116 V DC,4/20/2026 21:15:50.6,0:00:37.9,4/20/2026 21:16:02.2,10.142 V DC,10.121 V DC,4/20/2026 21:16:03.5,10.038 V DC,Stable,4/20/2026 21:16:28.5
7,10.018 V DC,4/20/2026 21:16:28.5,0:00:00.1,4/20/2026 21:16:28.5,10.018 V DC,10.018 V DC,4/20/2026 21:16:28.5,10.018 V DC,Unstable,4/20/2026 21:16:28.6
8,10.120 V DC,4/20/2026 21:16:28.6,0:00:04.7,4/20/2026 21:16:29.8,10.141 V DC,10.122 V DC,4/20/2026 21:16:31.9,10.027 V DC,Stable,4/20/2026 21:16:33.3
9,10.023 V DC,4/20/2026 21:16:33.3,0:00:17.2,4/20/2026 21:16:35.9,10.141 V DC,10.122 V DC,4/20/2026 21:16:47.6,10.022 V DC,Interval,4/20/2026 21:16:50.6
10,10.127 V DC,4/20/2026 21:16:50.6,0:00:05.5,4/20/2026 21:16:50.7,10.138 V DC,10.118 V DC,4/20/2026 21:16:55.2,10.041 V DC,Stable,4/20/2026 21:16:56.1
11,10.025 V DC,4/20/2026 21:16:56.1,0:00:54.4,4/20/2026 21:17:02.7,10.139 V DC,10.115 V DC,4/20/2026 21:17:04.3,10.011 V DC,Interval,4/20/2026 21:17:50.5
12,10.066 V DC,4/20/2026 21:17:50.5,0:01:00.1,4/20/2026 21:17:54.3,10.135 V DC,10.110 V DC,4/20/2026 21:18:42.3,10.014 V DC,Interval,4/20/2026 21:18:50.6
13,10.125 V DC,4/20/2026 21:18:50.6,0:01:00.0,4/20/2026 21:18:50.9,10.129 V DC,10.107 V DC,4/20/2026 21:19:35.7,10.011 V DC,Interval,4/20/2026 21:19:50.5
14,10.119 V DC,4/20/2026 21:19:50.5,0:00:46.5,4/20/2026 21:19:50.9,10.126 V DC,10.101 V DC,4/20/2026 21:20:06.2,10.014 V DC,Stable,4/20/2026 21:20:37.0
15,10.010 V DC,4/20/2026 21:20:37.0,0:00:13.5,4/20/2026 21:20:37.3,10.121 V DC,10.098 V DC,4/20/2026 21:20:42.8,9.982 V DC,Interval,4/20/2026 21:20:50.5
16,10.075 V DC,4/20/2026 21:20:50.5,0:00:53.8,4/20/2026 21:21:03.0,10.121 V DC,10.094 V DC,4/20/2026 21:21:37.2,9.993 V DC,Stable,4/20/2026 21:21:44.3
17,9.725 V DC,4/20/2026 21:21:44.3,0:00:02.5,4/20/2026 21:21:46.7,9.974 V DC,9.467 V DC,4/20/2026 21:21:45.1,8.762 V DC,Unstable,4/20/2026 21:21:46.8
18,9.998 V DC,4/20/2026 21:21:46.8,0:00:03.7,4/20/2026 21:21:50.3,10.063 V DC,10.021 V DC,4/20/2026 21:21:47.5,9.935 V DC,Interval,4/20/2026 21:21:50.6
19,10.045 V DC,4/20/2026 21:21:50.6,0:01:00.0,4/20/2026 21:22:42.9,10.101 V DC,10.076 V DC,4/20/2026 21:21:52.4,9.954 V DC,Interval,4/20/2026 21:22:50.5
20,10.086 V DC,4/20/2026 21:22:50.5,0:01:00.0,4/20/2026 21:22:57.7,10.102 V DC,10.082 V DC,4/20/2026 21:23:14.9,9.993 V DC,Interval,4/20/2026 21:23:50.5
21,10.083 V DC,4/20/2026 21:23:50.5,0:00:17.0,4/20/2026 21:23:58.9,10.101 V DC,10.080 V DC,4/20/2026 21:23:55.6,9.997 V DC,Stable,4/20/2026 21:24:07.5
22,9.043 V DC,4/20/2026 21:24:07.5,0:00:02.2,4/20/2026 21:24:08.0,9.954 V DC,9.392 V DC,4/20/2026 21:24:08.2,8.782 V DC,Unstable,4/20/2026 21:24:09.7
23,9.969 V DC,4/20/2026 21:24:09.7,0:00:03.0,4/20/2026 21:24:12.4,10.040 V DC,9.998 V DC,4/20/2026 21:24:09.8,9.913 V DC,Stable,4/20/2026 21:24:12.7
24,10.042 V DC,4/20/2026 21:24:12.7,0:00:03.2,4/20/2026 21:24:14.5,10.051 V DC,10.030 V DC,4/20/2026 21:24:12.9,9.986 V DC,Stable,4/20/2026 21:24:15.9
25,9.221 V DC,4/20/2026 21:24:15.9,0:00:02.0,4/20/2026 21:24:16.4,9.923 V DC,9.331 V DC,4/20/2026 21:24:17.1,8.787 V DC,Unstable,4/20/2026 21:24:18.0
