FLUKE 289,  V1.16,  40810170 Douglas Hutchings

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name
12/5/2025 3:08:26 PM,12/5/2025 11:18:05 PM,8:09:39,0:01:00,3448,490,3004,Motor 7
Max Time,Max,Average,Min,Min Time,Scaling,
12/5/2025 3:08:26 PM,10.089 V DC,9.516 V DC,8.887 V DC,12/5/2025 3:08:34 PM,(none)

Reading,Sample,Start Time,Duration,Max Time,Max,Average,Min Time,Min,Description,Stop Time
1,10.089 V DC,12/5/2025 15:08:26.2,0:00:01.0,12/5/2025 15:08:26.2,10.089 V DC,10.065 V DC,12/5/2025 15:08:26.6,10.046 V DC,Stable,12/5/2025 15:08:27.2
2,9.285 V DC,12/5/2025 15:08:27.2,0:00:06.7,12/5/2025 15:08:27.8,9.994 V DC,9.479 V DC,12/5/2025 15:08:33.8,8.887 V DC,Unstable,12/5/2025 15:08:34.0
3,9.829 V DC,12/5/2025 15:08:34.0,0:00:01.4,12/5/2025 15:08:35.1,9.940 V DC,9.906 V DC,12/5/2025 15:08:34.0,9.829 V DC,Stable,12/5/2025 15:08:35.4
4,9.947 V DC,12/5/2025 15:08:35.4,0:00:02.8,12/5/2025 15:08:37.9,9.985 V DC,9.936 V DC,12/5/2025 15:08:38.0,9.852 V DC,Stable,12/5/2025 15:08:38.2
5,9.776 V DC,12/5/2025 15:08:38.2,0:00:00.1,12/5/2025 15:08:38.2,9.776 V DC,9.776 V DC,12/5/2025 15:08:38.2,9.776 V DC,Unstable,12/5/2025 15:08:38.3
6,9.948 V DC,12/5/2025 15:08:38.3,0:00:04.2,12/5/2025 15:08:41.7,10.011 V DC,9.986 V DC,12/5/2025 15:08:42.3,9.923 V DC,Stable,12/5/2025 15:08:42.5
7,9.848 V DC,12/5/2025 15:08:42.5,0:00:00.2,12/5/2025 15:08:42.6,9.885 V DC,9.867 V DC,12/5/2025 15:08:42.5,9.848 V DC,Unstable,12/5/2025 15:08:42.7
8,9.995 V DC,12/5/2025 15:08:42.7,0:00:02.4,12/5/2025 15:08:44.9,10.016 V DC,9.970 V DC,12/5/2025 15:08:43.1,9.897 V DC,Stable,12/5/2025 15:08:45.1
9,9.851 V DC,12/5/2025 15:08:45.1,0:00:00.1,12/5/2025 15:08:45.1,9.851 V DC,9.851 V DC,12/5/2025 15:08:45.1,9.851 V DC,Unstable,12/5/2025 15:08:45.2
10,9.997 V DC,12/5/2025 15:08:45.2,0:00:01.5,12/5/2025 15:08:46.4,10.019 V DC,9.997 V DC,12/5/2025 15:08:46.1,9.918 V DC,Stable,12/5/2025 15:08:46.8
11,9.896 V DC,12/5/2025 15:08:46.8,0:00:04.9,12/5/2025 15:08:50.9,10.032 V DC,10.009 V DC,12/5/2025 15:08:46.8,9.896 V DC,Stable,12/5/2025 15:08:51.7
12,10.033 V DC,12/5/2025 15:08:51.7,0:00:02.3,12/5/2025 15:08:53.8,10.038 V DC,10.023 V DC,12/5/2025 15:08:53.9,9.938 V DC,Stable,12/5/2025 15:08:54.0
13,9.826 V DC,12/5/2025 15:08:54.0,0:00:00.1,12/5/2025 15:08:54.0,9.826 V DC,9.826 V DC,12/5/2025 15:08:54.0,9.826 V DC,Unstable,12/5/2025 15:08:54.1
14,10.010 V DC,12/5/2025 15:08:54.1,0:00:02.7,12/5/2025 15:08:55.3,10.038 V DC,10.021 V DC,12/5/2025 15:08:56.1,9.955 V DC,Stable,12/5/2025 15:08:56.8
15,9.897 V DC,12/5/2025 15:08:56.8,0:00:00.1,12/5/2025 15:08:56.8,9.897 V DC,9.897 V DC,12/5/2025 15:08:56.8,9.897 V DC,Unstable,12/5/2025 15:08:56.9
16,9.999 V DC,12/5/2025 15:08:56.9,0:00:07.2,12/5/2025 15:09:02.0,10.043 V DC,10.020 V DC,12/5/2025 15:09:04.0,9.918 V DC,Stable,12/5/2025 15:09:04.2
17,9.854 V DC,12/5/2025 15:09:04.2,0:00:00.6,12/5/2025 15:09:04.4,10.008 V DC,9.909 V DC,12/5/2025 15:09:04.7,9.803 V DC,Unstable,12/5/2025 15:09:04.8
18,9.931 V DC,12/5/2025 15:09:04.8,0:00:12.7,12/5/2025 15:09:10.5,10.046 V DC,10.020 V DC,12/5/2025 15:09:12.2,9.886 V DC,Stable,12/5/2025 15:09:17.5
